db,category_name,n,energy_mean_kcal,energy_sd,protein_mean_g,protein_sd,fat_mean_g,fat_sd,carb_mean_g,carb_sd,salt_eq_mean_g,salt_eq_sd
JB,料理の素・ミックス,39,213.5,136.1,5.5,3.2,10.4,10.4,24.6,15.1,7.4,5.1
JB,ソース・ケチャップ,26,141.9,64.7,3.1,2.6,3.7,8.7,25.0,11.8,7.9,4.1
JB,その他調味料,24,309.8,243.0,5.2,3.8,23.2,27.6,23.8,14.0,7.8,4.9
JB,カレー・シチュー,22,388.8,146.9,7.1,2.3,21.2,10.4,47.1,15.4,10.3,5.0
US,Mexican Dinner Mixes,1678,281.5,95.0,7.4,3.5,8.2,6.4,47.1,12.5,1.4,2.1
JB,料理の素・ミックス,19,243.0,163.0,4.2,2.6,10.3,11.6,33.4,21.7,7.9,7.7
US,Other Cooking Sauces,2248,88.5,115.3,0.8,2.0,3.2,10.1,13.0,18.8,1.2,2.4
JB,料理の素・ミックス,11,243.7,209.5,3.9,2.6,16.9,15.7,18.5,18.1,5.0,4.1
US,Frozen Dinners & Entrees,5662,145.0,54.7,7.0,3.2,5.6,4.0,16.7,7.9,0.8,0.4
JB,冷凍弁当・おかず,201,156.8,85.8,5.2,2.6,6.4,5.5,19.6,10.0,1.3,0.9
JB,レトルト米飯・粥,47,235.6,236.9,6.1,4.5,6.9,7.3,37.4,40.6,2.1,1.6
JB,煮物・おかず,28,145.6,89.8,7.5,6.2,6.0,4.8,15.7,8.4,2.0,2.7
JB,冷凍米飯,24,169.7,24.7,4.2,0.9,4.1,2.2,29.0,5.2,1.0,0.2
JB,カレー・シチュー,11,124.7,43.6,3.9,1.7,5.8,3.1,14.1,6.5,1.3,0.4
US,Frozen Patties and Burgers,1183,218.3,64.4,14.9,4.9,13.8,7.7,9.0,10.0,0.9,0.5
JB,冷凍弁当・おかず,38,221.4,58.3,10.5,2.0,14.6,5.2,11.9,4.4,1.4,0.3
JB,冷凍肉・鶏,30,232.7,59.4,10.4,2.2,14.5,5.9,15.3,4.5,1.1,0.4
JB,その他冷凍食品,11,249.5,63.4,10.0,3.8,14.8,5.5,19.2,6.8,1.3,0.6
US,Pasta Dinners,1588,333.6,69.7,11.7,3.7,5.8,4.1,58.3,18.1,2.2,1.1
JB,冷凍弁当・おかず,22,147.4,11.5,4.5,0.7,4.4,1.1,22.3,1.7,1.0,0.2
US,Eggs & Egg Substitutes,914,125.7,78.1,12.2,4.0,7.2,6.5,2.2,7.8,0.5,0.6
JB,冷凍弁当・おかず,17,36.7,1.9,3.1,0.3,1.9,0.1,1.8,0.3,1.0,0.1
US,Frozen Appetizers & Hors D'oeuvres,4831,232.4,65.6,10.6,4.8,11.0,5.9,22.8,11.4,1.3,0.5
JB,冷凍点心・餃子,88,194.1,65.2,7.2,2.2,8.8,4.5,21.4,8.0,1.5,1.7
JB,冷凍弁当・おかず,55,207.4,85.8,6.4,3.0,11.7,6.7,19.2,7.8,1.2,0.4
JB,その他冷凍食品,31,210.7,81.5,6.7,3.1,11.7,6.6,19.8,7.4,1.3,0.7
US,Frozen Poultry Chicken & Turkey,440,163.7,56.1,16.8,4.1,7.2,5.0,7.8,8.7,1.1,0.5
JB,冷凍肉・鶏,70,170.4,74.7,13.1,5.2,8.9,6.0,9.4,5.2,1.2,0.5
US,Frozen Fish & Seafood,3705,124.2,64.4,15.8,5.1,4.2,6.6,5.4,9.0,0.9,0.7
JB,冷凍水産品,79,150.6,74.0,11.6,3.5,5.1,6.9,14.4,7.8,1.1,0.4
JB,冷凍弁当・おかず,25,187.1,97.3,13.3,5.2,10.1,9.4,10.8,7.8,1.5,0.7
JB,冷凍肉・鶏,15,233.8,80.0,12.2,3.4,13.7,8.1,15.2,6.8,1.3,0.3
JB,その他冷凍食品,13,231.8,117.3,9.2,3.8,12.6,9.3,20.4,7.4,1.4,0.8
JB,その他水産,13,121.2,86.2,24.0,19.4,1.5,2.8,2.8,7.0,1.7,2.0
US,Frozen Vegetables,4127,59.4,38.3,2.8,2.1,0.7,1.9,10.4,7.2,0.2,0.4
JB,その他冷凍食品,125,55.6,51.2,2.7,2.9,1.3,2.1,8.4,9.9,0.1,0.2
US,Pizza,3564,239.4,34.8,10.2,2.3,10.5,3.1,26.3,5.8,1.3,0.3
JB,その他冷凍食品,16,243.6,50.0,10.3,2.3,8.6,2.7,31.1,5.6,1.2,0.3
US,French Fries Potatoes & Onion Rings,927,165.6,58.9,2.5,1.6,6.8,4.6,24.0,6.1,0.8,0.5
