food_id,category_l1_jp,category_l2,food_name_jp,fdc_id,food_name_en,usda_category,confidence,jp_energy_kcal,us_energy_kcal,diff_energy_kcal,jp_protein,us_protein,diff_protein,jp_fat,us_fat,diff_fat,jp_carb,us_carb,diff_carb,jp_fiber,us_fiber,diff_fiber,jp_Ca,us_Ca,diff_Ca,jp_Fe,us_Fe,diff_Fe,jp_K,us_K,diff_K,jp_Zn,us_Zn,diff_Zn,jp_vit_C,us_vit_C,diff_vit_C,jp_vit_A_RAE,us_vit_A_RAE,diff_vit_A_RAE,jp_vit_B1,us_vit_B1,diff_vit_B1,jp_vit_B2,us_vit_B2,diff_vit_B2,jp_vit_D,us_vit_D,diff_vit_D,jp_vit_B12,us_vit_B12,diff_vit_B12,jp_salt_eq,us_salt_eq,diff_salt_eq
04008,豆類,,いんげんまめ　全粒　ゆで,173743,"Beans, kidney, california red, mature seeds, cooked, boiled, without salt",Legumes and Legume Products,high,127.0,124,-3.0,9.3,9.13,-0.17,0.7,0.09,-0.61,17.3,22.4,5.1,13.6,9.3,-4.3,62.0,66.0,4.0,2.0,2.98,0.98,410.0,419,9.0,1.0,0.86,-0.14,,1.2,,3.0,0.0,-3.0,0.22,0.129,-0.091,0.07,0.062,-0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
04018,豆類,,ささげ　全粒　ゆで,172426,"Mothbeans, mature seeds, cooked, boiled, without salt",Legumes and Legume Products,high,130.0,117,-13.0,10.2,7.81,-2.39,0.6,0.55,-0.05,18.7,21.0,2.3,10.7,,,32.0,3.0,-29.0,2.6,3.14,0.54,400.0,304,-96.0,1.5,0.59,-0.91,,1.0,,8.0,1.0,-7.0,0.2,0.124,-0.076,0.05,0.023,-0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025
04030,豆類,,だいず　［全粒・全粒製品］　きな粉　黄大豆　脱皮大豆,174274,"Soy flour, full-fat, roasted",Legumes and Legume Products,high,456.0,439,-17.0,37.5,38.1,0.6,23.7,21.9,-1.8,6.8,30.4,23.6,15.3,9.7,-5.6,180.0,188,8.0,6.2,5.82,-0.38,2000.0,2040.0,40.0,4.0,3.58,-0.42,0.0,0.0,0.0,6.0,6.0,0.0,0.07,0.412,0.342,0.22,0.941,0.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03
04034,豆類,,だいず　［豆腐・油揚げ類］　ソフト豆腐,174292,"MORI-NU, Tofu, silken, soft",Legumes and Legume Products,high,56.0,55.0,-1.0,5.1,4.8,-0.3,3.0,2.7,-0.3,0.4,2.9,2.5,0.4,0.1,-0.3,91.0,31.0,-60.0,0.7,0.82,0.12,150.0,180,30.0,0.5,0.52,0.02,,0.0,,0.0,0.0,0.0,0.07,0.1,0.03,0.03,0.04,0.01,0.0,,,0.0,0.0,0.0,0.0,0.013,0.013
04038,豆類,,だいず　［豆腐・油揚げ類］　焼き豆腐,174290,"Tofu, extra firm, prepared with nigari",Legumes and Legume Products,high,82.0,83.0,1.0,7.8,9.98,2.18,5.2,5.26,0.06,0.7,1.18,0.48,0.5,1.0,0.5,150.0,282,132.0,1.6,2.04,0.44,90.0,130,40.0,0.8,1.07,0.27,,0.0,,0.0,0.0,0.0,0.07,0.048,-0.022,0.03,0.048,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
04051,豆類,,だいず　［その他］　おから　生,172452,Okara,Legumes and Legume Products,high,88.0,76.0,-12.0,6.1,3.52,-2.58,3.4,1.73,-1.67,0.6,12.2,11.6,11.5,,,81.0,80.0,-1.0,1.3,1.3,0.0,350.0,213,-137.0,0.6,0.56,-0.04,,0.0,,0.0,0.0,0.0,0.11,0.02,-0.09,0.03,0.02,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.023
04071,豆類,,りょくとう　全粒　乾,173727,"Beans, adzuki, mature seeds, raw",Legumes and Legume Products,high,319.0,329,10.0,25.1,19.9,-5.2,1.0,0.53,-0.47,45.4,62.9,17.5,14.6,12.7,-1.9,100.0,66.0,-34.0,5.9,4.98,-0.92,1300.0,1250.0,-50.0,4.0,5.04,1.04,,0.0,,150.0,1.0,-149.0,0.7,0.455,-0.245,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.013
04072,豆類,,りょくとう　全粒　ゆで,172427,"Mungo beans, mature seeds, cooked, boiled, without salt",Legumes and Legume Products,high,125.0,105,-20.0,10.2,7.54,-2.66,0.4,0.55,0.15,17.7,18.3,0.6,5.2,6.4,1.2,32.0,53.0,21.0,2.2,1.75,-0.45,320.0,231,-89.0,0.8,0.83,0.03,,1.0,,85.0,2.0,-83.0,0.19,0.15,-0.04,0.06,0.075,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018
04087,豆類,,だいず　［豆腐・油揚げ類］　凍り豆腐　水煮,174297,"Vitasoy USA, Organic Nasoya Super Firm Cubed Tofu",Legumes and Legume Products,high,104.0,118,14.0,10.7,12.4,1.7,6.7,6.3,-0.4,0.1,2.8,2.7,0.5,2.0,1.5,150.0,188,38.0,1.7,2.0,0.3,3.0,,,1.2,,,0.0,,,2.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.7,0.015,-0.685
04094,豆類,,レンズまめ　全粒　ゆで,172421,"Lentils, mature seeds, cooked, boiled, without salt",Legumes and Legume Products,high,149.0,116,-33.0,11.2,9.02,-2.18,0.5,0.38,-0.12,23.3,20.1,-3.2,9.4,7.9,-1.5,27.0,19.0,-8.0,4.3,3.33,-0.97,330.0,369,39.0,2.5,1.27,-1.23,0.0,1.5,1.5,15.0,0.0,-15.0,0.2,0.169,-0.031,0.06,0.073,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005
04097,豆類,,だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：塩化マグネシウム）,172448,"Tofu, firm, prepared with calcium sulfate and magnesium chloride (nigari)",Legumes and Legume Products,high,73.0,78.0,5.0,7.0,9.04,2.04,4.5,4.17,-0.33,0.8,2.85,2.05,1.1,0.9,-0.2,40.0,201,161.0,1.5,1.61,0.11,110.0,148,38.0,0.6,0.83,0.23,0.0,0.2,0.2,0.0,0.0,0.0,0.09,0.06,-0.03,0.04,0.063,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,-0.07
04102,豆類,,あずき　あん　こし練りあん　（中割りあん）,173730,"Yokan, prepared from adzuki beans and sugar",Legumes and Legume Products,high,262.0,260,-2.0,5.1,3.29,-1.81,0.1,0.12,0.02,63.0,60.7,-2.3,3.5,,,38.0,27.0,-11.0,1.5,1.16,-0.34,32.0,45.0,13.0,0.6,0.07,-0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.005,-0.005,0.03,0.004,-0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.211
05002,種実類,,アーモンド　フライ　味付け,168602,"Nuts, almonds, oil roasted, lightly salted",Nut and Seed Products,high,626.0,607,-19.0,21.3,21.2,-0.1,53.2,55.2,2.0,4.9,17.7,12.8,10.1,10.5,0.4,240.0,291,51.0,3.5,3.68,0.18,760.0,699,-61.0,3.1,3.07,-0.03,0.0,0.0,0.0,7.0,,,0.05,0.092,0.042,1.07,0.781,-0.289,0.0,,,0.0,0.0,0.0,0.3,0.363,0.063
05005,種実類,,カシューナッツ　フライ　味付け,169422,"Nuts, cashew nuts, oil roasted, with salt added",Nut and Seed Products,high,591.0,581,-10.0,19.8,16.8,-3.0,47.9,47.8,-0.1,18.6,30.2,11.6,6.7,3.3,-3.4,38.0,43.0,5.0,4.8,6.05,1.25,590.0,632,42.0,5.4,5.35,-0.05,0.0,0.3,0.3,10.0,0.0,-10.0,0.54,0.363,-0.177,0.18,0.218,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.782,0.182
05006,種実類,,かぼちゃ　いり　味付け,170557,"Seeds, pumpkin and squash seed kernels, roasted, without salt",Nut and Seed Products,high,590.0,574,-16.0,26.5,29.8,3.3,48.7,49.0,0.3,2.1,14.7,12.6,7.3,6.5,-0.8,44.0,52.0,8.0,6.5,8.07,1.57,840.0,788,-52.0,7.7,7.64,-0.06,,1.8,,31.0,0.0,-31.0,0.21,0.07,-0.14,0.19,0.15,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.046,-0.054
05008,種実類,,ぎんなん　生,170584,"Nuts, ginkgo nuts, raw",Nut and Seed Products,high,168.0,182,14.0,4.7,4.32,-0.38,1.3,1.68,0.38,33.4,37.6,4.2,1.6,,,5.0,2.0,-3.0,1.0,1.0,0.0,710.0,510,-200.0,0.4,0.34,-0.06,23.0,15.0,-8.0,290.0,28.0,-262.0,0.28,0.22,-0.06,0.08,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018
05010,種実類,くり類,（くり類）　日本ぐり　生,169413,"Nuts, chestnuts, japanese, raw",Nut and Seed Products,high,147.0,154,7.0,2.8,2.25,-0.55,0.4,0.53,0.13,33.5,34.9,1.4,4.2,,,23.0,31.0,8.0,0.8,1.45,0.65,420.0,329,-91.0,0.5,1.1,0.6,33.0,26.3,-6.7,37.0,2.0,-35.0,0.21,0.344,0.134,0.07,0.163,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.036
05011,種実類,くり類,（くり類）　日本ぐり　ゆで,170166,"Nuts, chestnuts, chinese, boiled and steamed",Nut and Seed Products,high,152.0,153,1.0,3.5,2.88,-0.62,0.5,0.76,0.26,32.8,33.6,0.8,6.6,,,23.0,12.0,-11.0,0.7,0.97,0.27,460.0,306,-154.0,0.6,0.6,0.0,26.0,24.7,-1.3,37.0,7.0,-30.0,0.17,0.11,-0.06,0.08,0.123,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005
05013,種実類,くり類,（くり類）　中国ぐり　甘ぐり,170164,"Nuts, chestnuts, chinese, raw",Nut and Seed Products,high,207.0,224,17.0,4.9,4.2,-0.7,0.9,1.11,0.21,43.9,49.1,5.2,8.5,,,30.0,18.0,-12.0,2.0,1.41,-0.59,560.0,447,-113.0,0.9,0.87,-0.03,2.0,36.0,34.0,68.0,10.0,-58.0,0.2,0.16,-0.04,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008
05016,種実類,,ココナッツ　ココナッツパウダー,168585,"Nuts, coconut meat, dried (desiccated), creamed",Nut and Seed Products,high,676.0,684,8.0,6.1,5.3,-0.8,64.3,69.1,4.8,6.4,21.5,15.1,14.1,,,15.0,26.0,11.0,2.8,3.36,0.56,820.0,551,-269.0,1.4,2.04,0.64,0.0,1.5,1.5,0.0,0.0,0.0,0.03,0.061,0.031,0.03,0.101,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.094
05019,種実類,,ごま　むき,169412,"Seeds, sesame seed kernels, dried (decorticated)",Nut and Seed Products,high,570.0,631,61.0,19.3,20.4,1.1,44.8,61.2,16.4,0.6,11.7,11.1,13.0,11.6,-1.4,62.0,60.0,-2.0,6.0,6.36,0.36,400.0,370,-30.0,5.5,6.73,1.23,0.0,0.0,0.0,2.0,3.0,1.0,1.25,0.699,-0.551,0.14,0.09,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.119
